Company,Category,Subcategory,Layer,Geo,Year Founded,Headquarters,Description,Notes,Website,Funding Total USD,Last Round,Last Round USD,Last Round Date,Valuation USD,Company Type,Ticker,Employee Count,Revenue Estimate USD,Investors
Google DeepMind,Frontier Models,Large Language Models,Foundation,UK,2010,"London, UK",AI research lab within Google,Merged DeepMind and Google Brain,deepmind.google,,,,,,subsidiary,,2800,,"Alphabet"
Meta AI,Frontier Models,Open Source Models,Foundation,US,2013,"Menlo Park, CA",Open source LLM research at Meta,Llama model family,ai.meta.com,,,,,,subsidiary,,1500,,"Meta Platforms"
Mistral AI,Frontier Models,Open Source Models,Foundation,France,2023,"Paris, France",European frontier AI lab,Strong open-weight models,mistral.ai,1100000000,Series B,600000000,2024-06,6000000000,private,,60,35000000,"Andreessen Horowitz, Lightspeed, General Catalyst"
Cohere,Frontier Models,Enterprise LLMs,Foundation,Canada,2019,"Toronto, Canada",Enterprise-focused LLM provider,RAG and enterprise search focus,cohere.com,970000000,Series D,500000000,2024-06,5500000000,private,,450,35000000,"NVIDIA, Salesforce Ventures, Inovia Capital"
AI21 Labs,Frontier Models,Enterprise LLMs,Foundation,Israel,2017,"Tel Aviv, Israel",Enterprise AI with Jamba models,Mamba architecture pioneer,ai21.com,336000000,Series C,208000000,2023-08,1400000000,private,,250,20000000,"Google, NVIDIA, Intel Capital"
xAI,Frontier Models,Large Language Models,Foundation,US,2023,"Palo Alto, CA",Elon Musk AI venture building Grok,Focus on truth-seeking AI,x.ai,12000000000,Series C,6000000000,2024-12,50000000000,private,,200,,"Sequoia Capital, a16z, Valor Equity Partners"
Inflection AI,Frontier Models,Consumer AI,Foundation,US,2022,"Palo Alto, CA",Personal AI assistant Pi,Most team joined Microsoft,inflection.ai,1525000000,Series B,1300000000,2023-06,4000000000,private,,35,,"Microsoft, NVIDIA, Reid Hoffman, Bill Gates"
Stability AI,Frontier Models,Image Generation,Foundation,UK,2019,"London, UK",Open source image generation,Stable Diffusion creator,stability.ai,262000000,Series B,101000000,2023-04,1000000000,private,,150,50000000,"Coatue, Lightspeed, O'Shaughnessy Ventures"
Midjourney,Frontier Models,Image Generation,Foundation,US,2021,"San Francisco, CA",AI image generation platform,Self-funded profitable,midjourney.com,0,Self-funded,0,,10000000000,private,,55,200000000,Self-funded
Runway,Frontier Models,Video Generation,Foundation,US,2018,"New York, NY",AI video generation and editing,Gen-2 and Gen-3 models,runwayml.com,237000000,Series D,141000000,2024-06,4000000000,private,,150,50000000,"Google, NVIDIA, Felicis, Lux Capital"
Pika,Frontier Models,Video Generation,Foundation,US,2023,"Palo Alto, CA",AI video generation startup,Consumer video creation,pika.art,135000000,Series B,80000000,2024-06,470000000,private,,45,,"Spark Capital, Lightspeed, Jared Leto"
ElevenLabs,Frontier Models,Audio/Speech,Foundation,US,2022,"New York, NY",AI voice synthesis platform,Text-to-speech leader,elevenlabs.io,281000000,Series C,180000000,2025-01,3000000000,private,,200,80000000,"Andreessen Horowitz, Nat Friedman, Daniel Gross"
Suno,Frontier Models,Audio/Speech,Foundation,US,2023,"Cambridge, MA",AI music generation,Full song generation,suno.com,125000000,Series B,125000000,2024-05,500000000,private,,45,,"Lightspeed, Nat Friedman, Daniel Gross"
NVIDIA,Infrastructure,Chips/GPUs,Hardware,US,1993,"Santa Clara, CA",GPU computing platform,AI compute monopoly,nvidia.com,,,,,,public,NVDA,29600,60922000000,"Public company"
AMD,Infrastructure,Chips/GPUs,Hardware,US,1969,"Santa Clara, CA",CPU and GPU manufacturer,MI300 AI accelerator,amd.com,,,,,,public,AMD,26000,22680000000,"Public company"
Intel,Infrastructure,Chips/GPUs,Hardware,US,1968,"Santa Clara, CA",Semiconductor manufacturer,Gaudi AI accelerator,intel.com,,,,,,public,INTC,124800,54228000000,"Public company"
Cerebras,Infrastructure,AI Chips,Hardware,US,2016,"Sunnyvale, CA",Wafer-scale AI chip maker,Largest chip ever built,cerebras.net,720000000,Series F,250000000,2023-11,4250000000,private,,400,,"a16z, Benchmark, Eclipse Ventures"
Groq,Infrastructure,AI Chips,Hardware,US,2016,"Mountain View, CA",LPU inference chip maker,Fastest inference speeds,groq.com,640000000,Series D,300000000,2024-04,2800000000,private,,250,,"Tiger Global, D1 Capital, Samsung"
SambaNova,Infrastructure,AI Chips,Hardware,US,2017,"Palo Alto, CA",Reconfigurable dataflow AI chip,Enterprise AI platform,sambanova.ai,1120000000,Series D,676000000,2023-04,5000000000,private,,500,,"SoftBank, BlackRock, Intel Capital, GV"
d-Matrix,Infrastructure,AI Chips,Hardware,US,2019,"Santa Clara, CA",In-memory compute chip for inference,Digital in-memory compute,d-matrix.ai,154000000,Series B,110000000,2023-10,,private,,120,,"Microsoft, SK Hynix, Tracker Capital"
Tenstorrent,Infrastructure,AI Chips,Hardware,Canada,2016,"Toronto, Canada",RISC-V AI processor company,Jim Keller led,tenstorrent.com,323000000,Series D,193000000,2024-01,2600000000,private,,350,,"Hyundai, Samsung, Eclipse, Bezos Expeditions"
AWS,Infrastructure,Cloud/Compute,Cloud,US,2006,"Seattle, WA",Amazon cloud computing,Trainium and Inferentia chips,aws.amazon.com,,,,,,subsidiary,,,,Amazon
Google Cloud,Infrastructure,Cloud/Compute,Cloud,US,2008,"Sunnyvale, CA",Google cloud platform,TPU infrastructure,cloud.google.com,,,,,,subsidiary,,,,Alphabet
Microsoft Azure,Infrastructure,Cloud/Compute,Cloud,US,2010,"Redmond, WA",Microsoft cloud platform,OpenAI partnership,azure.microsoft.com,,,,,,subsidiary,,,,Microsoft
